DAST_2_feature,DAST_2_importance,OP_NMU_EVER_feature,OP_NMU_EVER_importance,BENZ_NMU_EVER_feature,BENZ_NMU_EVER_importance,STIM_NMU_EVER_feature,STIM_NMU_EVER_importance,GABA_NMU_EVER_feature,GABA_NMU_EVER_importance
DEM_ABOR_TYPE,0.2287977817025441,QLANG,0.25828779560332893,DEM_AGE,0.19102962041979413,DEM_AGE,0.36928549446878584,DEM_ABOR_TYPE,0.22597583890336703
DEM_AGE,0.20016951373485864,DEM_LOCATION,0.15459985591018596,DEM_INCOME,0.18663679980778827,DEM_STDNT,0.09230632147071796,DEM_ABOR,0.16193251738607908
DEM_ABOR,0.18979247086513712,DEM_REGION,0.1244032293507488,DEM_MARITAL,0.13986511305403684,DEM_MARITAL,0.08684903385440869,DEM_AGE,0.12967832868468074
DEM_INCOME,0.053896912983698975,DEM_AGE,0.1008119633677945,DEM_LOCATION,0.07985568587579267,DEM_INCOME,0.08224347781887474,DEM_POSTAL_T5J,0.08612458113303179
DEM_LOCATION,0.0537400818429827,DEM_INCOME,0.07889641995928348,DEM_EDU,0.0650556659185511,DEM_EDU,0.0678436425048429,DEM_LOCATION,0.06360414583687429
DEM_POSTAL_T5J,0.039259656821944294,DEM_EDU,0.05420428302955389,DEM_STDNT,0.05828150986411057,DEM_LOCATION,0.06077329002823842,DEM_GENDER,0.05613973547635271
DEM_MARITAL,0.03860829137114136,DEM_MARITAL,0.04820043126276604,DEM_REGION,0.047839597325452704,DEM_ABOR_TYPE,0.03600141133837512,DEM_INCOME,0.05300385107390194
DEM_EDU,0.03313267016631809,DEM_PREGMNTH,0.02149121840207725,DEM_ABOR_TYPE,0.03796972173434279,DEM_REGION,0.02646700138258646,DEM_EDU,0.0507193635927278
DEM_STDNT,0.031025121469125446,DEM_STDNT,0.020853242349341265,DEM_GENDER,0.03420038138612835,DEM_ABOR,0.021864853088515115,DEM_MARITAL,0.044528791915433
DEM_GENDER,0.03072632958276565,DEM_ABOR_TYPE,0.01583132134767929,QLANG,0.030998048431408402,DEM_GENDER,0.019969682898373024,DEM_REGION,0.03298945231729129
DEM_REGION,0.023948682675808998,DEM_ABOR,0.014151887633245666,DEM_POSTAL_H1Y,0.025145111969072063,HEALTH_ROLE,0.017550535898750705,HEALTH_ROLE,0.01355818124988015
HEALTH_ROLE,0.012410237007591321,DEM_GENDER,0.013336636599553645,DEM_ABOR,0.015232133090230675,QLANG,0.013631365943692164,DEM_STDNT,0.009883550882068689
QLANG,0.00814026172841898,HEALTH_ROLE,0.01205931605736239,DEM_VET,0.014187948193832586,DEM_PREGMNTH,0.013028513491935378,QLANG,0.008132223740478915
DEM_VET,0.0073363799333882726,HEALTH_SETTING_HOME,0.008197799968542854,HEALTH_ROLE,0.013555400742637412,HEALTH_SETTING_HOME,0.011330462404578398,DEM_VET,0.007398557139581947
DEM_POSTAL_T2P,0.0059528610948248765,DEM_VET,0.008003436262224021,DEM_HEALTH,0.009758217902305903,HEALTH_SETTING_OTH,0.009929429671567864,DEM_HEALTH,0.007213326022008827
DEM_POSTAL_J0L,0.005847248837680959,DEM_PREG,0.007697210036685714,DEM_PREGMNTH,0.008654811059454695,HEALTH_SETTING_PRIV,0.009676349024877297,HEALTH_SETTING_OUT,0.0070369766583578365
HEALTH_SETTING_HOS,0.00568768313116832,DEM_POSTAL_j0k,0.007551335348512177,HEALTH_SETTING_OTH,0.008194432127623795,DEM_HEALTH,0.007520611181420064,HEALTH_SETTING_PRE,0.0070029746269750035
DEM_HEALTH,0.005475087689973898,DEM_POSTAL_T5J,0.0070813347878836705,DEM_POSTAL_J0K,0.005872195653522581,DEM_PREG,0.0071603842522935,DEM_POSTAL_t5j,0.005790216739397637
HEALTH_SETTING_OUT,0.0053201399717429775,DEM_HEALTH,0.006481154822531431,DEM_POSTAL_H9R,0.005452968292414084,DEM_VET,0.006952180410372628,HEALTH_SETTING_HOS,0.00473331056933766
DEM_PREGMNTH,0.003703319983454958,HEALTH_SETTING_PRE,0.0064269435558290105,HEALTH_SETTING_PRIV,0.005002811381095919,DEM_POSTAL_K2S,0.006843888022542435,DEM_PREGMNTH,0.004589007824554506
DEM_POSTAL_j7v,0.0035471811555770915,HEALTH_SETTING_OUT,0.004987773790427241,HEALTH_SETTING_HOS,0.003955126086729509,HEALTH_SETTING_HOS,0.005733840075320338,HEALTH_SETTING_PRIV,0.003605073774781786
HEALTH_SETTING_HOME,0.002747708860186598,DEM_POSTAL_J0K,0.004337623779390717,HEALTH_SETTING_HOME,0.0029783739938275123,DEM_POSTAL_J7C,0.005597814381998071,DEM_POSTAL_T2P,0.003327214933721526
HEALTH_SETTING_OTH,0.0024874788090345243,HEALTH_SETTING_HOS,0.003804047155931849,DEM_POSTAL_V0K,0.0019677460816871356,DEM_POSTAL_j7v,0.003931029261494211,DEM_PREG,0.0030188696324336363
HEALTH_SETTING_PRIV,0.0023787785522278405,DEM_POSTAL_G0R,0.003379286955818209,DEM_PREG,0.0019625266589532015,DEM_POSTAL_T6K,0.003928527152505607,HEALTH_SETTING_OTH,0.002789021563731161
DEM_POSTAL_G0A,0.0018364639982629278,DEM_POSTAL_J3Y,0.0029267224746062606,HEALTH_SETTING_PRE,0.001349684151821008,DEM_POSTAL_V9T,0.0036994948286516076,HEALTH_SETTING_HOME,0.0024348573883487767
DEM_PREG,0.0014067279747574477,HEALTH_SETTING_OTH,0.0026733588646794667,DEM_POSTAL_G7H,0.0012982107029766725,DEM_POSTAL_T3B,0.0031332238368684414,DEM_POSTAL_T4B,0.0016910414249258494
DEM_POSTAL_V0N,0.0013050062093757807,HEALTH_SETTING_PRIV,0.0025940209869861025,HEALTH_SETTING_OUT,0.0009288530319269878,DEM_POSTAL_G1S,0.0030294986616732317,DEM_POSTAL_h4h,0.0016304803091617306
HEALTH_SETTING_PRE,0.000972961201591217,DEM_POSTAL_G0A,0.0018896169028664721,DEM_POSTAL_G0R,0.0008773948685633733,DEM_POSTAL_j0k,0.0016161906827069522,DEM_POSTAL_T8N,0.0007464051132239848
DEM_POSTAL_N6G,0.000148032830221097,DEM_POSTAL_J0L,0.001582411479636764,DEM_POSTAL_g1m,0.0008379174206672825,HEALTH_SETTING_OUT,0.0010640150901647142,DEM_POSTAL_J0H,0.0002579139689002619
DEM_POSTAL_T8N,9.7371634401073e-05,DEM_POSTAL_G1S,0.001430961581991552,DEM_POSTAL_s7j,0.0004670653160057648,HEALTH_SETTING_PRE,0.0004916935134319446,DEM_POSTAL_V9N,0.000233285735879574
DEM_POSTAL_T0M,6.562216079585566e-05,DEM_POSTAL_V0R,0.0010937247952135388,DEM_POSTAL_A0A,0.0003110639384640419,DEM_POSTAL_G0R,0.00046986570786549715,DEM_POSTAL_G1S,0.0001905326711358688
DEM_POSTAL_K7P,3.593401899866275e-05,DEM_POSTAL_J0H,0.0007336355773217898,DEM_POSTAL_H1A,0.00027786351878190675,DEM_POSTAL_J0Y,7.687765157072704e-05,DEM_POSTAL_J6N,4.037171137507954e-05
